"Código Institución";"Nombre Institución";"Estado Institución";"Carácter Académico";"Sector";"¿Puede Recibir Estudiantes Nuevos?";"Estado Programa";"Descripción Estado Programa";"Fecha de la Resolución";"Número de la Resolución";"Justificación";"Reconocimiento del Ministerio";"Resolución de Aprobación No.";"Fecha de Resolución";"Vigencia (Años)";"Fecha de Registro en SNIES";"Código SNIES del Programa";"Código Anterior (ICFES)";"Área de Conocimiento";"Núcleo Básico del Conocimiento - NBC";"Nombre del Programa";"Nivel Académico";"Nivel de Formación";"Metodología";"Número Créditos";"Número Periodos de Duración";"Periodos de Duración";"Titulo Otorgado";"Departamento Oferta del Programa";"Municipio Oferta del Programa";"Costo Matrícula para Estudiantes Nuevos";"¿Se ofrece por ciclos propedéuticos?";"¿Cada cuánto se hacen admisiones de estudiantes nuevos?"
"1105";"UNIVERSIDAD PEDAGOGICA NACIONAL";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"26331";"24/11/2017";"10";"18/01/2006";"51867";"110573700001100111500";"CIENCIAS DE LA EDUCACION";"EDUCACION";"DOCTORADO INTERINSTITUCIONAL EN EDUCACION";"POSGRADO";"Doctorado";"Presencial";"81";"4";"ANUAL";"DOCTOR EN EDUCACION";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"ANUAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"903";"130126583621100112300";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA AMBIENTAL, SANITARIA Y AFINES";"TECNOLOGIA EN GESTION DE SERVICIOS PUBLICOS SANITARIOS";"PREGRADO";"Tecnológica";"A distancia";"";"6";"SEMESTRAL";"TECNOLOGO EN GESTION DE SERVICIOS PUBLICOS SANITARIOS";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"3075";"26/04/2010";"6";"21/03/1998";"904";"130129100021100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA CIVIL Y AFINES";"TECNOLOGIA EN TOPOGRAFIA";"PREGRADO";"Tecnológica";"Presencial";"104";"6";"SEMESTRAL";"TECNOLOGO EN TOPOGRAFIA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"905";"130123330721100112300";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA AMBIENTAL, SANITARIA Y AFINES";"TECNOLOGIA EN SANEAMIENTO AMBIENTAL";"PREGRADO";"Tecnológica";"A distancia";"";"6";"SEMESTRAL";"TECNOLOGO EN SANEAMIENTO AMBIENTAL";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"14960";"19/11/2012";"6";"21/03/1998";"906";"130147300001100111100";"BELLAS ARTES";"ATES PLASTICAS, VISUALES Y AFINES";"ARTES PLASTICAS Y VISUALES";"PREGRADO";"Universitaria";"Presencial";"160";"10";"SEMESTRAL";"MAESTRO EN ARTES PLASTICAS Y VISUALES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"17147";"17/10/2014";"4";"21/03/1998";"907";"130147920001100111100";"BELLAS ARTES";"ARTES REPRESENTATIVAS";"ARTES ESCENICAS";"PREGRADO";"Universitaria";"Presencial";"163";"10";"SEMESTRAL";"MAESTRO EN ARTES ESCENICAS";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"8153";"30/05/2014";"6";"21/03/1998";"908";"130147800001100111100";"BELLAS ARTES";"MUSICA";"ARTES MUSICALES";"PREGRADO";"Universitaria";"Presencial";"166";"10";"SEMESTRAL";"MAESTRO EN ARTES MUSICALES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"909";"130143720001100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN EDUCACION PRIMARIA";"PREGRADO";"Universitaria";"Presencial";"";"8";"SEMESTRAL";"LICENCIADO EN EDUCACION PRIMARIA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"3110";"27/04/2010";"7";"21/03/1998";"910";"130143703001100111600";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES";"PREGRADO";"Universitaria";"Presencial";"160";"10";"SEMESTRAL";"LICENCIADO(A) EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"911";"130144103701100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN LENGUAS MODERNAS ESPAÑOL E INGLES";"PREGRADO";"Universitaria";"Presencial";"";"8";"SEMESTRAL";"LICENCIADO EN LENGUAS MODERNAS- ESPAÑOL E INGLES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"912";"130144108001100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN LINGUISTICA Y LITERATURA";"PREGRADO";"Universitaria";"Presencial";"";"8";"SEMESTRAL";"LICENCIADO EN LINGUISTICA Y LITERATURA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"13668";"15/08/2018";"7";"21/03/1998";"913";"130145303701100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN FISICA";"PREGRADO";"Universitaria";"Presencial";"160";"10";"SEMESTRAL";"LICENCIADO EN FISICA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"1242";"21/02/2011";"6";"21/03/1998";"914";"130145103701100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS";"PREGRADO";"Universitaria";"Presencial";"168";"10";"SEMESTRAL";"LICENCIADO(A) EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"11945";"25/07/2018";"6";"21/03/1998";"915";"130145743701100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN BIOLOGIA";"PREGRADO";"Universitaria";"Presencial";"146";"8";"SEMESTRAL";"LICENCIADO(A) EN BIOLOGIA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"10731";"25/05/2017";"4";"21/03/1998";"916";"130145403701100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN QUIMICA";"PREGRADO";"Universitaria";"Presencial";"151";"9";"SEMESTRAL";"LICENCIADO EN QUIMICA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"17484";"31/08/2017";"6";"21/03/1998";"917";"130145260001100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA CIVIL Y AFINES";"INGENIERIA CATASTRAL Y GEODESIA";"PREGRADO";"Universitaria";"Presencial";"160";"10";"SEMESTRAL";"INGENIERO CATASTRAL Y GEODESTA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"10607";"14/07/2015";"6";"21/03/1998";"918";"130140030001100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES";"INGENIERÍA DE SISTEMAS";"PREGRADO";"Universitaria";"Presencial";"180";"10";"SEMESTRAL";"INGENIERO DE SISTEMAS";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"19078";"20/09/2017";"6";"21/03/1998";"919";"130146210381100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES";"INGENIERIA ELECTRONICA";"PREGRADO";"Universitaria";"Presencial";"163";"10";"SEMESTRAL";"INGENIERO ELECTRONICO";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"16117";"04/08/2016";"8";"21/03/1998";"920";"130146700421100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA INDUSTRIAL Y AFINES";"INGENIERIA INDUSTRIAL";"PREGRADO";"Universitaria";"Presencial";"167";"10";"SEMESTRAL";"INGENIERO INDUSTRIAL";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"3230";"05/04/2013";"6";"21/03/1998";"921";"130146346201100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA AGRICOLA, FORESTAL Y AFINES";"INGENIERIA FORESTAL";"PREGRADO";"Universitaria";"Presencial";"164";"10";"SEMESTRAL";"INGENIERO FORESTAL";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"922";"130156700421100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA INDUSTRIAL Y AFINES";"ESPECIALIZACION EN INGENIERIA DE PRODUCCION";"POSGRADO";"Especialización Universitaria";"Presencial";"28";"1";"ANUAL";"ESPECIALISTA EN INGENIERIA DE PRODUCCION";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";""
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"4337";"10/03/2017";"7";"21/03/1998";"923";"130164203701100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"MAESTRIA EN LINGUISTICA APLICADA A LA ENSEÑANZA DEL INGLES";"POSGRADO";"Maestría";"Presencial";"50";"4";"SEMESTRAL";"MAGISTER EN LINGUISTICA APLICADA A LA ENSEÑANZA DEL INGLES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"924";"130160040601100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES";"MAESTRIA EN TELEINFORMATICA";"POSGRADO";"Maestría";"Presencial";"";"3";"SEMESTRAL";"MAGISTER EN TELEINFORMATICA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";""
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"2765";"130156130901100111200";"CIENCIAS DE LA EDUCACION";"EDUCACION";"ESPECIALIZACION EN EDUCACION SEXUAL";"POSGRADO";"Especialización Universitaria";"Presencial";"";"2";"SEMESTRAL";"ESPECIALISTA EN EDUCACION SEXUAL";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
